# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240617
# Data de termino: 20240623
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Estatisticas Fluminense - Principal;20240619;69;60;19;20.797101449275363;0;0;0
Estatisticas Fluminense - Principal;20240620;58;42;21;29.82758620689655;0;0;0
Estatisticas Fluminense - Principal;20240621;58;44;20;24.362068965517242;0;0;0
Estatisticas Fluminense - Principal;20240623;55;41;16;15.836363636363636;0;0;0
Estatisticas Fluminense - Principal;20240618;50;37;7;16.48;0;0;0
Estatisticas Fluminense - Principal;20240617;49;37;9;12.306122448979592;0;0;0
Estatisticas Fluminense - Principal;20240622;43;34;11;17.767441860465116;0;0;0
Jogador;20240619;30;26;0;35.53333333333333;0;0;0
Fluminense x Cruzeiro-MG;20240619;23;18;0;31.130434782608695;0;0;0
Jogador;20240620;21;14;1;25.38095238095238;0;0;0
Fluminense x Cruzeiro-MG;20240618;19;13;0;27.57894736842105;0;0;0
Jogo;20240619;19;12;0;80.26315789473684;0;0;0
Jogador;20240623;17;13;0;22.352941176470587;0;0;0
Jogador;20240622;16;14;0;55.1875;0;0;0
Jogador;20240621;15;12;0;19.133333333333333;0;0;0
Jogador;20240617;14;12;0;33.142857142857146;0;0;0
Jogo;20240617;13;10;0;66.61538461538461;0;0;0
Jogo;20240620;13;11;0;23.23076923076923;0;0;0
Adversarios;20240617;12;8;0;47.583333333333336;0;0;0
Adversarios;20240619;12;10;1;39.833333333333336;0;0;0
Jogador;20240618;12;9;2;30;0;0;0
Adversarios;20240618;11;9;1;14;0;0;0
Fluminense x Flamengo-RJ;20240623;11;11;0;13.818181818181818;0;0;0
Especiais Jogadores;20240619;10;8;0;81;0;0;0
Jogo;20240622;10;10;0;29.1;0;0;0
Campeonatos;20240620;9;7;0;18.11111111111111;0;0;0
Fluminense x Flamengo-RJ;20240621;9;7;0;8.666666666666666;0;0;0
Tecnico;20240621;9;8;0;18.666666666666668;0;0;0
Adversarios;20240620;8;8;0;12.875;0;0;0
Adversarios;20240621;8;7;0;8.5;0;0;0
Fluminense x Cruzeiro-MG;20240617;8;6;0;24.75;0;0;0
Jogo;20240618;8;6;0;74.875;0;0;0
Cruzeiro 2 X 0 Fluminense;20240620;7;7;0;44.42857142857143;0;0;0
Especiais Jogadores;20240618;7;5;0;111.85714285714286;0;0;0
Estadios;20240618;7;7;0;12.428571428571429;0;0;0
German Cano 2024;20240623;7;4;6;11.428571428571429;0;0;0
Informacoes Gerais;20240620;7;5;0;13.142857142857142;0;0;0
Matheus Delgado Candancan;20240619;7;6;0;50.285714285714285;0;0;0
Arbitros;20240622;7;6;0;89;0;0;0
Adversarios;20240622;6;6;0;21.166666666666668;0;0;0
Campeonatos;20240619;6;6;0;11.333333333333334;0;0;0
Especiais Jogadores;20240620;6;4;0;23.333333333333332;0;0;0
Especiais Jogos;20240620;6;4;0;35.5;0;0;0
Estadios;20240621;6;5;0;7.666666666666667;0;0;0
Fluminense x Flamengo-RJ;20240620;6;6;0;42.166666666666664;0;0;0
Fluminense x Flamengo-RJ;20240622;6;6;0;37.333333333333336;0;0;0
Jogo;20240621;6;6;0;28.5;0;0;0
Jogo;20240623;6;5;0;13;0;0;0
Paulo Cesar 2009;20240618;6;2;0;13;0;0;0
Tecnico;20240620;6;6;0;4.666666666666667;0;0;0
Arbitros;20240623;6;5;0;14;0;0;0
(not set);20240618;5;3;0;23.2;0;0;0
(not set);20240619;5;3;0;9.8;0;0;0
(not set);20240620;5;4;0;21.8;0;0;0
Adversarios;20240623;5;5;0;33.6;0;0;0
Campeonatos;20240621;5;5;0;45.4;0;0;0
Especiais Adversarios;20240620;5;4;0;8.2;0;0;0
Especiais Campeonatos;20240620;5;4;0;6.4;0;0;0
Especiais Tecnico;20240620;5;3;0;20.6;0;0;0
Fluminense 1 X 0 Cruzeiro;20240618;5;3;0;3.6;0;0;0
Fluminense 2 X 3 ABC;20240618;5;3;3;2.6;0;0;0
Informacoes Gerais;20240619;5;3;0;12.8;0;0;0
Tec - Fernando Diniz;20240620;5;4;0;6.4;0;0;0
Tecnico;20240619;5;5;0;10.6;0;0;0
Tecnico;20240622;5;5;0;6.8;0;0;0
Arbitros;20240619;5;5;0;5.8;0;0;0
(not set);20240621;4;3;0;17.75;0;0;0
Brasileiro 2024;20240620;4;3;0;25.25;0;0;0
Brasileirao Rodada a Rodada;20240621;4;2;0;2.25;0;0;0
Calegari 2024;20240620;4;4;0;15;0;0;0
Camisa;20240620;4;4;0;8.75;0;0;0
Campeonatos;20240617;4;4;0;10;0;0;0
Campeonatos;20240622;4;4;0;13;0;0;0
Corinthians 3 X 0 Fluminense;20240619;4;3;0;7.5;0;0;0
Especiais Adversarios;20240617;4;4;0;10.75;0;0;0
Especiais Jogadores;20240623;4;4;0;18.5;0;0;0
Especiais Jogos;20240621;4;3;0;17.25;0;0;0
Especiais Sequencias;20240620;4;2;0;40;0;0;0
Fluminense 1 X 0 Cruzeiro;20240619;4;4;0;9.75;0;0;0
Fluminense 2 X 3 ABC;20240621;4;4;4;25;0;0;0
Fluminense x Atletico GO-GO;20240617;4;4;0;48;0;0;0
German Cano 2024;20240619;4;4;4;18.5;0;0;0
Informacoes Gerais;20240623;4;3;1;8;0;0;0
Jogadores com mais jogos;20240619;4;4;0;16;0;0;0
Maracana;20240623;4;4;0;1.75;0;0;0
Proximos Jogos;20240621;4;2;0;15;0;0;0
Tec - Fernando Diniz;20240619;4;4;0;22.75;0;0;0
Tec - Fernando Diniz;20240623;4;3;0;18;0;0;0
Tecnico;20240623;4;4;0;8.25;0;0;0
Arbitros;20240617;4;4;2;24.5;0;0;0
Arbitros;20240618;4;3;0;7.75;0;0;0
Arbitros;20240621;4;4;0;25;0;0;0
Alexsander 2024;20240620;3;3;0;23;0;0;0
Assistencias em Ano;20240618;3;2;0;2;0;0;0
Botafogo 1 X 0 Fluminense;20240620;3;3;0;9.666666666666666;0;0;0
Brasileiro 1977;20240622;3;3;2;216;0;0;0
Calegari 2023;20240620;3;3;0;90;0;0;0
Campeonatos;20240623;3;3;0;14;0;0;0
Carioca 1951;20240620;3;2;0;27;0;0;0
Carlyle 1952;20240621;3;2;1;5;0;0;0
Cruzeiro 0 X 2 Fluminense;20240619;3;3;0;30.333333333333332;0;0;0
Cruzeiro 1 X 2 Fluminense;20240618;3;3;2;43.666666666666664;0;0;0
Danielzinho 2024;20240621;3;2;0;6;0;0;0
Especiais Adversarios;20240619;3;2;0;17.333333333333332;0;0;0
Especiais Adversarios;20240623;3;3;0;15;0;0;0
Especiais Brasileirao;20240617;3;2;0;6.666666666666667;0;0;0
Especiais Brasileirao;20240622;3;2;0;8.333333333333334;0;0;0
Especiais Campeonatos;20240622;3;3;0;13.666666666666666;0;0;0
Especiais Gols e Penalties;20240618;3;2;0;74.66666666666667;0;0;0
Especiais Jogos;20240623;3;3;0;11.666666666666666;0;0;0
Especiais Tecnico;20240617;3;3;0;10.333333333333334;0;0;0
Especiais Tecnico;20240618;3;2;0;3.3333333333333335;0;0;0
Especiais Tecnico;20240622;3;3;0;7;0;0;0
Estadios;20240617;3;3;0;6.666666666666667;0;0;0
