# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240603
# Data de termino: 20240609
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Estatisticas Fluminense - Principal;20240606;65;51;15;21.76923076923077;0;0;0
Estatisticas Fluminense - Principal;20240605;59;48;21;13.88135593220339;0;0;0
Estatisticas Fluminense - Principal;20240607;58;42;16;21.948275862068964;0;0;0
Estatisticas Fluminense - Principal;20240604;57;46;15;16.42105263157895;0;0;0
Estatisticas Fluminense - Principal;20240603;52;44;22;26.26923076923077;0;0;0
Estatisticas Fluminense - Principal;20240608;50;42;15;27.44;0;0;0
Estatisticas Fluminense - Principal;20240609;44;38;8;28.727272727272727;0;0;0
Jogador;20240606;41;28;1;51.048780487804876;0;0;0
Jogador;20240607;35;25;0;34.65714285714286;0;0;0
Jogador;20240605;26;21;1;20.346153846153847;0;0;0
Adversarios;20240603;25;22;0;26.92;0;0;0
Jogador;20240604;25;19;2;40.04;0;0;0
Adversarios;20240604;22;19;0;34.36363636363637;0;0;0
Adversarios;20240608;22;19;0;22.136363636363637;0;0;0
Jogador;20240603;22;18;0;56.04545454545455;0;0;0
Jogador;20240608;22;19;0;79.68181818181819;0;0;0
Jogo;20240607;21;16;0;66.47619047619048;0;0;0
Adversarios;20240609;15;14;1;24.466666666666665;0;0;0
Jogador;20240609;15;11;0;31.6;0;0;0
Jogo;20240605;15;14;0;62.2;0;0;0
Jogo;20240608;15;14;0;72.2;0;0;0
Jogo;20240606;14;13;1;57.214285714285715;0;0;0
Adversarios;20240605;13;12;1;25.76923076923077;0;0;0
Adversarios;20240606;13;8;1;8.538461538461538;0;0;0
Fluminense x Gremio-RS;20240608;13;11;0;31.384615384615383;0;0;0
Especiais Jogadores;20240606;12;8;0;38.166666666666664;0;0;0
Fluminense x Gremio-RS;20240609;12;11;0;84.75;0;0;0
Jogo;20240603;12;10;1;74.16666666666667;0;0;0
Jogo;20240604;12;12;0;94.08333333333333;0;0;0
Thiago Silva 2008;20240607;11;9;1;15.818181818181818;0;0;0
Campeonatos;20240606;10;9;0;14.2;0;0;0
Especiais Jogadores;20240603;10;10;0;39.7;0;0;0
Especiais Jogadores;20240605;10;7;0;9.7;0;0;0
Fluminense x Gremio-RS;20240603;10;9;0;21.6;0;0;0
Especiais Jogadores;20240607;9;6;0;5.333333333333333;0;0;0
Fluminense x Botafogo-RJ;20240604;9;8;0;53.888888888888886;0;0;0
Adversarios;20240607;8;7;0;43;0;0;0
Campeonatos;20240604;8;8;0;20.25;0;0;0
Informacoes Gerais;20240607;8;7;0;77.375;0;0;0
Thiago Silva 2008;20240605;8;5;0;5.375;0;0;0
Tecnico;20240606;8;7;0;20;0;0;0
Campeonatos;20240603;7;7;0;16.285714285714285;0;0;0
Campeonatos;20240607;7;7;0;26.714285714285715;0;0;0
Campeonatos;20240609;7;7;0;13.857142857142858;0;0;0
Especiais Adversarios;20240605;7;6;0;11.285714285714286;0;0;0
Estadios;20240605;7;7;0;20.857142857142858;0;0;0
Fluminense x Gremio-RS;20240605;7;5;0;29.714285714285715;0;0;0
German Cano 2024;20240604;7;6;2;25.285714285714285;0;0;0
German Cano 2024;20240606;7;5;1;9.285714285714286;0;0;0
Campeonatos;20240608;6;6;0;13.833333333333334;0;0;0
Edinho 1989;20240606;6;5;0;32.833333333333336;0;0;0
Especiais Jogadores;20240604;6;6;0;17.333333333333332;0;0;0
Fluminense x Botafogo-RJ;20240609;6;5;0;133.5;0;0;0
Fluminense x The Strongest-Bolivia;20240603;6;6;1;33.5;0;0;0
Fluminense x Vasco-RJ;20240604;6;6;3;26.5;0;0;0
Informacoes Gerais;20240603;6;6;0;7.666666666666667;0;0;0
