# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240715
# Data de termino: 20240721
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Estatisticas Fluminense - Principal;20240721;92;72;37;17.130434782608695;0;0;0
Estatisticas Fluminense - Principal;20240718;77;63;32;47.51948051948052;0;0;0
Estatisticas Fluminense - Principal;20240719;46;39;11;19.804347826086957;0;0;0
Estatisticas Fluminense - Principal;20240715;42;29;10;19.857142857142858;0;0;0
Estatisticas Fluminense - Principal;20240717;39;33;12;25.871794871794872;0;0;0
Estatisticas Fluminense - Principal;20240716;35;24;11;60.65714285714286;0;0;0
Estatisticas Fluminense - Principal;20240720;34;26;8;13.911764705882353;0;0;0
Jogador;20240721;32;27;0;23.25;0;0;0
Jogador;20240718;22;21;0;31.545454545454547;0;0;0
Adversarios;20240718;21;21;0;32.23809523809524;0;0;0
Jogador;20240720;18;15;1;54.111111111111114;0;0;0
Jogador;20240716;16;13;1;52.25;0;0;0
Informacoes Gerais;20240721;15;12;0;18.733333333333334;0;0;0
Jogador;20240719;15;15;0;18.533333333333335;0;0;0
Jogo;20240718;15;14;1;71.93333333333334;0;0;0
Fluminense x Juventude-RS;20240718;14;13;0;131.07142857142858;0;0;0
Jogador;20240715;14;12;1;28.714285714285715;0;0;0
Jogos em 21 / 07;20240721;14;11;1;66;0;0;0
Jogo;20240715;13;10;1;64.6923076923077;0;0;0
Campeonatos;20240718;12;11;0;10.916666666666666;0;0;0
Especiais Jogadores;20240721;12;12;0;24.5;0;0;0
Especiais Jogos;20240721;12;11;0;17.083333333333332;0;0;0
Jogador;20240717;12;12;0;41.666666666666664;0;0;0
Jogo;20240721;12;12;0;70.25;0;0;0
Jogos em dd/mm;20240721;12;11;0;14.25;0;0;0
Jogo;20240720;10;8;0;78.7;0;0;0
Especiais Adversarios;20240718;9;7;0;6.555555555555555;0;0;0
Fluminense x Vasco-RJ;20240718;9;7;5;22.11111111111111;0;0;0
Adversario x Campeonato;20240718;8;6;0;17;0;0;0
Adversarios;20240715;8;7;0;26.25;0;0;0
Fluminense x Cuiaba-MT;20240721;8;8;0;14.625;0;0;0
Jogo;20240719;8;7;0;82.125;0;0;0
Juventude 6 X 0 Fluminense;20240718;8;8;6;25.375;0;0;0
Proximos Jogos;20240718;8;7;0;73.25;0;0;0
Arbitros;20240718;8;8;0;15.625;0;0;0
Anderson Daronco;20240718;7;6;0;19;0;0;0
Camisa;20240718;7;7;0;16.428571428571427;0;0;0
Fluminense x Cuiaba-MT;20240718;7;7;0;58.57142857142857;0;0;0
German Cano 2024;20240721;7;7;7;27.571428571428573;0;0;0
Jogo;20240716;7;5;0;93.85714285714286;0;0;0
Juventude - Copa do Brasil;20240718;7;5;0;24.571428571428573;0;0;0
Arbitros;20240721;7;7;0;15.714285714285714;0;0;0
Adversarios;20240717;6;6;0;12.833333333333334;0;0;0
Adversarios;20240719;6;6;0;42.666666666666664;0;0;0
Adversarios;20240721;6;6;0;22.833333333333332;0;0;0
Anderson Daronco;20240721;6;6;0;32.833333333333336;0;0;0
Curiosidades e Titulos;20240721;6;6;0;30.333333333333332;0;0;0
Especiais Jogadores;20240719;6;6;0;37;0;0;0
Jogo;20240717;6;5;0;25;0;0;0
Arbitros;20240719;6;6;0;41.166666666666664;0;0;0
Campeonatos;20240721;5;5;0;15.4;0;0;0
Especiais Campeonatos;20240718;5;4;0;2.6;0;0;0
Especiais Jogadores;20240716;5;5;0;17;0;0;0
Especiais Jogadores;20240718;5;5;0;9.2;0;0;0
Especiais Jogadores;20240720;5;3;0;14.2;0;0;0
Graficos;20240718;5;5;0;36;0;0;0
Informacoes Gerais;20240715;5;4;0;15.8;0;0;0
Informacoes Gerais;20240718;5;5;0;26.6;0;0;0
Lucumi 2024;20240716;5;1;0;2.8;0;0;0
Raphael Claus;20240719;5;4;0;26;0;0;0
Thiago Silva 2024;20240721;5;5;0;112;0;0;0
Todas as camisas;20240718;5;5;0;49;0;0;0
Todos os Jogos contra Juventude-RS;20240718;5;4;0;69;0;0;0
Anderson Daronco;20240719;4;4;0;68;0;0;0
Camisa;20240716;4;3;0;7.25;0;0;0
Campeonato x Adversario;20240718;4;3;0;9.75;0;0;0
Campeonatos;20240720;4;3;0;28.25;0;0;0
Copa do Brasil;20240718;4;3;0;53;0;0;0
Criciuma 1 X 1 Fluminense;20240721;4;4;0;16.5;0;0;0
Cuiaba 0 X 1 Fluminense;20240721;4;3;0;57.25;0;0;0
Curiosidades e Titulos;20240718;4;4;1;61.25;0;0;0
Especiais Campeonatos;20240715;4;2;0;24.75;0;0;0
Estadios;20240718;4;4;0;12.75;0;0;0
Fale Conosco;20240718;4;4;1;25;0;0;0
Fluminense x Cuiaba-MT;20240720;4;4;0;31.25;0;0;0
Fluminense x Vasco-RJ;20240721;4;3;1;13.75;0;0;0
Graficos;20240715;4;4;0;45.25;0;0;0
Graficos;20240716;4;3;0;37.25;0;0;0
Juventude 6 X 0 Fluminense;20240719;4;4;4;35.5;0;0;0
Madureira 1 X 2 Fluminense;20240721;4;3;1;1;0;0;0
Mais jogos no elenco atual;20240721;4;4;0;129.5;0;0;0
Thiago Silva 2008;20240721;4;4;0;134.5;0;0;0
Tecnico;20240717;4;3;0;7;0;0;0
Tecnico;20240718;4;4;0;14.5;0;0;0
Adversarios;20240716;3;3;0;37.333333333333336;0;0;0
Anderson Daronco;20240720;3;2;0;17.666666666666668;0;0;0
Arena Pantanal;20240719;3;3;0;14;0;0;0
Bioro 1944;20240721;3;3;3;85.33333333333333;0;0;0
Brasileiro Serie B 1998;20240721;3;2;2;0;0;0;0
Camisa;20240715;3;3;0;5;0;0;0
Camisa;20240717;3;2;0;3.6666666666666665;0;0;0
Campeonatos;20240715;3;3;0;16.333333333333332;0;0;0
Campeonatos;20240717;3;3;0;52.666666666666664;0;0;0
Curiosidades e Titulos;20240715;3;3;0;42;0;0;0
Douglas Costa 2024;20240715;3;3;0;27;0;0;0
Especiais Adversarios;20240716;3;3;0;26.333333333333332;0;0;0
Especiais Adversarios;20240720;3;3;0;11.333333333333334;0;0;0
Especiais Campeonatos;20240721;3;3;0;16;0;0;0
Especiais Historicos;20240721;3;3;0;7;0;0;0
Especiais Jogadores;20240715;3;3;0;15.666666666666666;0;0;0
Especiais Jogadores;20240717;3;2;0;5.666666666666667;0;0;0
Estadios;20240716;3;3;0;11.666666666666666;0;0;0
Estadios;20240719;3;3;0;72.66666666666667;0;0;0
Fluminense 1 X 0 Ulsan Hyundai;20240718;3;3;3;8;0;0;0
Fluminense 10 X 0 Football & Athletic;20240721;3;1;0;102;0;0;0
Fluminense 2 X 3 ABC;20240721;3;3;3;33.666666666666664;0;0;0
Fluminense 7 X 1 Juventude;20240720;3;2;2;13;0;0;0
Fluminense x Cuiaba-MT;20240719;3;3;0;128;0;0;0
Fluminense x Flamengo-RJ;20240718;3;3;0;35.333333333333336;0;0;0
Fluminense x Paris Saint Germain-Franca;20240721;3;3;3;21;0;0;0
Fluminense x Sao Cristovao-RJ;20240715;3;3;2;1;0;0;0
Fluminense x Vasco-RJ;20240719;3;1;1;0;0;0;0
Felix Cabrera 1933;20240715;3;3;2;7.333333333333333;0;0;0
Gols do Doval;20240720;3;1;0;11;0;0;0
Maiores Artilheiros;20240718;3;3;0;73.66666666666667;0;0;0
Paulistano 2 X 2 Fluminense;20240718;3;2;0;38;0;0;0
Proximos Jogos;20240716;3;3;0;17;0;0;0
Proximos Jogos;20240717;3;3;0;10;0;0;0
