# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240610
# Data de termino: 20240616
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Estatisticas Fluminense - Principal;20240611;101;85;37;20.425742574257427;0;0;0
Estatisticas Fluminense - Principal;20240615;83;70;43;20.85542168674699;0;0;0
Estatisticas Fluminense - Principal;20240614;63;44;9;23.253968253968253;0;0;0
Estatisticas Fluminense - Principal;20240610;54;45;17;17.296296296296298;0;0;0
Estatisticas Fluminense - Principal;20240612;49;44;19;28.448979591836736;0;0;0
Estatisticas Fluminense - Principal;20240613;46;35;12;12.173913043478262;0;0;0
Fluminense x Botafogo-RJ;20240611;41;32;0;29.829268292682926;0;0;0
Estatisticas Fluminense - Principal;20240616;38;27;5;20.07894736842105;0;0;0
Adversarios;20240611;30;26;0;34.733333333333334;0;0;0
Jogador;20240611;26;17;2;18.692307692307693;0;0;0
Jogador;20240615;25;21;4;25.12;0;0;0
Fluminense x Atletico GO-GO;20240614;24;19;0;58.833333333333336;0;0;0
Adversarios;20240610;22;19;0;26.636363636363637;0;0;0
Jogador;20240612;22;15;1;31;0;0;0
Jogador;20240614;20;16;0;31.2;0;0;0
Jogador;20240613;19;12;0;25.526315789473685;0;0;0
Adversarios;20240612;17;14;0;22.176470588235293;0;0;0
Fluminense x Atletico GO-GO;20240613;16;10;0;19.375;0;0;0
German Cano 2024;20240611;16;16;14;34;0;0;0
Jogador;20240610;16;13;1;48.8125;0;0;0
Jogo;20240612;16;13;0;172.75;0;0;0
Fluminense x Gremio-RS;20240610;15;12;0;18;0;0;0
Jogo;20240610;15;14;0;51.46666666666667;0;0;0
Adversarios;20240613;14;11;0;13.642857142857142;0;0;0
Fluminense x Atletico GO-GO;20240615;14;11;0;14.357142857142858;0;0;0
Fluminense x Botafogo-RJ;20240610;14;12;0;39.142857142857146;0;0;0
Fluminense x Botafogo-RJ;20240612;14;9;0;54.857142857142854;0;0;0
Jogo;20240613;14;10;0;33.714285714285715;0;0;0
Jogo;20240615;14;6;0;28.5;0;0;0
Jogo;20240611;13;10;0;233.23076923076923;0;0;0
Adversarios;20240614;11;11;0;15.909090909090908;0;0;0
Jogador;20240616;11;11;0;19.454545454545453;0;0;0
Especiais Adversarios;20240614;10;5;0;9.1;0;0;0
Especiais Adversarios;20240613;9;4;0;41.55555555555556;0;0;0
Informacoes Gerais;20240612;9;8;0;8;0;0;0
Informacoes Gerais;20240615;9;8;1;10.333333333333334;0;0;0
Jogo;20240614;9;9;0;75.88888888888889;0;0;0
Jogo;20240616;9;8;0;85.33333333333333;0;0;0
Campeonatos;20240610;8;7;0;31.25;0;0;0
Campeonatos;20240612;8;8;0;13;0;0;0
Especiais Jogadores;20240612;7;5;0;39.857142857142854;0;0;0
Flavio Rodrigues de Souza;20240611;7;5;0;39.142857142857146;0;0;0
Informacoes Gerais;20240611;7;7;0;25.142857142857142;0;0;0
Todos os Jogos contra Botafogo-RJ;20240611;7;7;0;59.714285714285715;0;0;0
Adversarios;20240616;6;6;0;18.166666666666668;0;0;0
Campeonatos;20240614;6;4;0;41.5;0;0;0
Curiosidades e Titulos;20240610;6;3;0;42;0;0;0
Especiais Adversarios;20240611;6;6;0;28;0;0;0
Flavio Rodrigues de Souza;20240613;6;0;0;0;0;0;0
Fluminense x Atletico GO-GO;20240616;6;6;0;9;0;0;0
Fluminense x Botafogo-RJ;20240613;6;3;0;14.833333333333334;0;0;0
Oscar Cox 1908;20240613;6;1;0;7;0;0;0
Todos os Jogos contra Atletico GO-GO;20240614;6;6;0;104;0;0;0
Arbitros;20240611;6;5;0;9.833333333333334;0;0;0
(not set);20240613;5;3;0;2.8;0;0;0
Adversarios;20240615;5;3;0;22.2;0;0;0
Botafogo 1 X 0 Fluminense;20240612;5;5;0;33.8;0;0;0
Campeonatos;20240611;5;5;0;11.6;0;0;0
Campeonatos;20240615;5;5;0;22.2;0;0;0
Engenhao;20240611;5;4;0;5.8;0;0;0
Especiais Adversarios;20240610;5;5;0;11.6;0;0;0
Especiais Jogadores;20240610;5;4;0;32.6;0;0;0
Especiais Jogadores;20240611;5;5;0;39;0;0;0
Especiais Jogadores;20240613;5;5;0;13.8;0;0;0
Especiais Jogadores;20240615;5;4;0;15.6;0;0;0
Especiais Jogos;20240612;5;5;0;29;0;0;0
Flavio Rodrigues de Souza;20240614;5;1;0;0;0;0;0
Fluminense x Moto Club-MA;20240616;5;3;4;5.4;0;0;0
Fluminense x Paris Saint Germain-Franca;20240610;5;5;3;5;0;0;0
Fluminense x Vasco-RJ;20240611;5;5;1;54.4;0;0;0
Fluminense x Vasco-RJ;20240612;5;3;2;17.6;0;0;0
German Cano 2024;20240614;5;4;2;13.4;0;0;0
Principais adversarios;20240613;5;2;0;5.8;0;0;0
Tiago Silva 2001;20240614;5;2;0;2;0;0;0
Todos os jogos de Adversario;20240614;5;3;0;18.6;0;0;0
Arbitros;20240614;5;5;0;28.2;0;0;0
Adversario x Campeonato;20240613;4;2;0;16.75;0;0;0
Campeonato x Jogador;20240614;4;2;0;51.75;0;0;0
Campeonatos;20240616;4;4;0;15;0;0;0
Curiosidades e Titulos;20240612;4;4;0;27.75;0;0;0
Dirceu 1977;20240615;4;2;0;7.25;0;0;0
Especiais Campeonatos;20240614;4;2;0;281.5;0;0;0
Fluminense 2 X 3 ABC;20240613;4;4;4;13.25;0;0;0
Fluminense 2 X 3 ABC;20240614;4;3;3;14;0;0;0
Fluminense x Cruzeiro-MG;20240616;4;2;0;39.5;0;0;0
German Cano 2024;20240610;4;2;1;2.5;0;0;0
Graficos;20240611;4;4;0;5.25;0;0;0
Informacoes Gerais;20240613;4;4;0;6;0;0;0
Marlon 2024;20240615;4;3;0;19;0;0;0
Romerito 1989;20240612;4;1;0;25.25;0;0;0
